Sentence,Aspect Term,polarity
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,Windows,neutral
Maximum sound isn't nearly as loud as it should be.,Maximum sound,negative
"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",customer support,positive
  However the frozen screens kept happening.,screens,negative
", Applications respond immediately (not like the tired MS applications).",MS applications,negative
It had some kind of pre installed software update that completely shut the computer down when you clicked it.,pre installed software update,negative
"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.",expense,negative
"It is always reliable, never bugged and responds well.",responds,positive
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive
It just works flawlessly!,works,positive
Comes with iMovie;,iMovie,positive
) And printing from either word processor is an adventure.,word processor,negative
"I love the size, keyboard, the functions.",keyboard,positive
Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,negative
"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edges,negative
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive
Images are crisp and clean.,Images,positive
Now for the hardware problems.,hardware,negative
The keyboard is like no other laptop keyboard.,keyboard,neutral
The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",2 GB of RAM,positive
Keyboard was also very nice and had a solid feel.,Keyboard,positive
Another thing I might add is the battery life is excellent.,battery life,positive
After 20-30 min the screen of the notebook switched off.,screen,negative
"I bought a cordless mouse for it, but don't always take it out;",cordless mouse,positive
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",hard drive,negative
Its good for playing my apps on Facebook or watching movies.,playing,positive
I need graphic power to run my Adobe Creative apps efficiently.,Adobe Creative apps,neutral
The screen is gorgeous - yummy good.,screen,positive
